Name	Estado	Encargado	Criticidad	Descripcion	Inicio previsto	Previsto	Final	Duracion	Retraso	Soporte
TC01.01.01 Exito con datos validos (incluye generacion de credenciales).	Listo	Danna Andrade	IMPORTANTE	Verifica que el sistema permita crear un empleado cuando se ingresan datos validos. Ademas, comprueba que se generen automaticamente el nombre de usuario, la contrasena temporal y el indicador de primer acceso obligatorio.	2026-07-02	2026-07-03	2026-07-03	2 dias	0 dias	Prueba unitaria JUnit - REQ001
TC01.01.02 Error al registrar con cedula ya existente.	Listo	David Pilaguano	URGENTE	Valida que el sistema no permita registrar un empleado cuando la cedula ya se encuentra registrada. El sistema debe mostrar un mensaje de error y evitar la creacion de credenciales duplicadas.	2026-07-02	2026-07-03	2026-07-03	2 dias	0 dias	Prueba unitaria JUnit - REQ001
TC01.01.03 Error por datos de empleado no validos (cedula, correo o rol).	Listo	Ariel Llumiquinga	IMPORTANTE	Comprueba que el sistema rechace el registro cuando los datos del empleado no cumplen las reglas establecidas, como una cedula invalida, un correo incorrecto o un rol no permitido.	2026-07-02	2026-07-03	2026-07-03	2 dias	0 dias	Prueba unitaria JUnit - REQ001
TC02.01.01 Exito al consultar empleados registrados.	Listo	Ariel Llumiquinga	IMPORTANTE	Verifica que el sistema permita consultar correctamente el listado de empleados registrados en la base de datos o repositorio del sistema.	2026-07-02	2026-07-03	2026-07-03	2 dias	0 dias	Prueba unitaria JUnit - REQ002
TC02.01.02 Validar que se muestren cedula, nombre, rol y correo.	Listo	Danna Andrade	NORMAL	Comprueba que, al listar los empleados, se presenten los campos principales requeridos: cedula, nombre, rol y correo institucional.	2026-07-02	2026-07-03	2026-07-03	2 dias	0 dias	Prueba unitaria JUnit - REQ002
TC02.01.03 Resultado vacio cuando no existen empleados registrados.	Listo	David Pilaguano	NORMAL	Valida que el sistema responda correctamente cuando no existen empleados registrados, mostrando una lista vacia o un mensaje adecuado sin generar errores.	2026-07-02	2026-07-03	2026-07-03	2 dias	0 dias	Prueba unitaria JUnit - REQ002
TC03.01.01 Editar empleado - Exito al actualizar nombres, correo o rol.	Listo	Danna Andrade	IMPORTANTE	Verifica que el sistema permita editar correctamente los datos de un empleado existente, como nombres, correo institucional o rol.	2026-07-03	2026-07-04	2026-07-04	2 dias	0 dias	Prueba unitaria JUnit - REQ003
TC03.01.02 Error por empleado no encontrado (cedula inexistente).	Listo	David Pilaguano	URGENTE	Comprueba que el sistema muestre un error cuando se intenta editar un empleado que no existe o cuya cedula no esta registrada.	2026-07-03	2026-07-04	2026-07-04	2 dias	0 dias	Prueba unitaria JUnit - REQ003
TC03.01.03 Error por correo o rol no valido.	Listo	David Pilaguano	URGENTE	Valida que el sistema rechace la edicion cuando el nuevo correo o rol no cumplen las reglas de validacion establecidas.	2026-07-03	2026-07-04	2026-07-04	2 dias	0 dias	Prueba unitaria JUnit - REQ003
TC04.01.01 Exito al eliminar empleado existente.	Listo	Danna Andrade	URGENTE	Verifica que el sistema permita eliminar correctamente un empleado existente, siempre que la cedula corresponda a un registro valido.	2026-07-03	2026-07-04	2026-07-04	2 dias	0 dias	Prueba unitaria JUnit - REQ004
TC04.01.02 Error por empleado no encontrado.	Listo	David Pilaguano	URGENTE	Comprueba que el sistema muestre un error cuando se intenta eliminar un empleado que no existe.	2026-07-03	2026-07-04	2026-07-04	2 dias	0 dias	Prueba unitaria JUnit - REQ004
TC04.01.03 Validar eliminacion del usuario asociado.	Listo	Ariel Llumiquinga	URGENTE	Valida que, al eliminar un empleado, tambien se elimine o invalide el usuario asociado para evitar accesos posteriores al sistema.	2026-07-03	2026-07-04	2026-07-04	2 dias	0 dias	Prueba unitaria JUnit - REQ004
TC05.01.01 Exito con usuario y contrasena validos.	Listo	Ariel Llumiquinga	URGENTE	Verifica que un usuario pueda iniciar sesion correctamente cuando ingresa un nombre de usuario y contrasena validos.	2026-07-03	2026-07-04	2026-07-04	2 dias	0 dias	Prueba unitaria JUnit - REQ005
TC05.01.02 Error por credenciales incorrectas.	Listo	David Pilaguano	IMPORTANTE	Comprueba que el sistema rechace el inicio de sesion cuando las credenciales ingresadas son incorrectas.	2026-07-03	2026-07-04	2026-07-04	2 dias	0 dias	Prueba unitaria JUnit - REQ005
TC05.01.03 Bloqueo de cuenta tras tres intentos fallidos.	Listo	Danna Andrade	IMPORTANTE	Valida que el sistema bloquee la cuenta despues de tres intentos fallidos de inicio de sesion.	2026-07-03	2026-07-04	2026-07-04	2 dias	0 dias	Prueba unitaria JUnit - REQ005
TC05.01.04 Redireccion a cambio de contrasena por primer acceso.	Listo	Ariel Llumiquinga	URGENTE	Verifica que el sistema redirija al usuario al cambio de contrasena cuando inicia sesion por primera vez con credenciales temporales.	2026-07-03	2026-07-04	2026-07-04	2 dias	0 dias	Prueba unitaria JUnit - REQ005
TC06.01.01 Exito con contrasena actual correcta y nueva contrasena valida.	Listo	David Pilaguano	URGENTE	Comprueba que el usuario pueda cambiar su contrasena cuando ingresa correctamente la contrasena actual y una nueva contrasena valida.	2026-07-05	2026-07-06	2026-07-06	2 dias	0 dias	Prueba unitaria JUnit - REQ006
TC06.01.02 Error por contrasena actual incorrecta.	Listo	Danna Andrade	URGENTE	Valida que el sistema rechace el cambio de contrasena cuando la contrasena actual ingresada no coincide con la registrada.	2026-07-05	2026-07-06	2026-07-06	2 dias	0 dias	Prueba unitaria JUnit - REQ006
TC06.01.03 Error por confirmacion diferente.	Listo	Ariel Llumiquinga	IMPORTANTE	Comprueba que el sistema no permita cambiar la contrasena si la nueva contrasena y la confirmacion son diferentes.	2026-07-05	2026-07-06	2026-07-06	2 dias	0 dias	Prueba unitaria JUnit - REQ006
TC06.01.04 Error por incumplir politica de seguridad.	Listo	David Pilaguano	URGENTE	Verifica que el sistema rechace una nueva contrasena que no cumpla la politica de seguridad definida.	2026-07-05	2026-07-06	2026-07-06	2 dias	0 dias	Prueba unitaria JUnit - REQ006
TC07.01.01 Exito con usuario y correo registrados.	Listo	Danna Andrade	IMPORTANTE	Valida que el usuario pueda recuperar su contrasena cuando ingresa un nombre de usuario y correo registrados correctamente.	2026-07-05	2026-07-06	2026-07-06	2 dias	0 dias	Prueba unitaria JUnit - REQ007
TC07.01.02 Error por usuario no registrado.	Listo	David Pilaguano	URGENTE	Comprueba que el sistema muestre un error cuando se intenta recuperar la contrasena con un usuario no registrado.	2026-07-05	2026-07-06	2026-07-06	2 dias	0 dias	Prueba unitaria JUnit - REQ007
TC07.01.03 Error por correo no asociado al usuario.	Listo	Ariel Llumiquinga	URGENTE	Verifica que el sistema rechace la recuperacion cuando el correo ingresado no corresponde al usuario registrado.	2026-07-05	2026-07-06	2026-07-06	2 dias	0 dias	Prueba unitaria JUnit - REQ007
TC07.01.04 Error por nueva contrasena invalida.	Listo	Danna Andrade	URGENTE	Comprueba que el sistema no permita restablecer la contrasena si la nueva contrasena no cumple la politica de seguridad.	2026-07-05	2026-07-06	2026-07-06	2 dias	0 dias	Prueba unitaria JUnit - REQ007
TC08.01.01 Exito con periodo valido y datos existentes.	Listo	Ariel Llumiquinga	URGENTE	Verifica que el sistema genere correctamente un reporte analitico cuando se ingresa un periodo valido y existen datos registrados.	2026-07-06	2026-07-09	2026-07-09	4 dias	0 dias	Prueba unitaria JUnit - REQ008
TC08.01.02 Error por fecha final menor o igual a fecha inicial.	Listo	David Pilaguano	URGENTE	Valida que el sistema rechace la generacion del reporte cuando la fecha final es menor o igual a la fecha inicial.	2026-07-06	2026-07-09	2026-07-09	4 dias	0 dias	Prueba unitaria JUnit - REQ008
TC08.01.03 Error cuando el periodo no contiene datos.	Listo	Danna Andrade	IMPORTANTE	Comprueba que el sistema informe adecuadamente cuando no existen datos registrados para el periodo seleccionado.	2026-07-06	2026-07-09	2026-07-09	4 dias	0 dias	Prueba unitaria JUnit - REQ008
TC08.01.04 Validar totales consolidados de empleados y accesos fallidos.	Listo	Ariel Llumiquinga	IMPORTANTE	Verifica que los totales del reporte coincidan con los datos consolidados de empleados creados, editados, eliminados y accesos fallidos.	2026-07-06	2026-07-09	2026-07-09	4 dias	0 dias	Prueba unitaria JUnit - REQ008
TC09.01.01 Exito al listar todos los reportes existentes.	Listo	David Pilaguano	IMPORTANTE	Comprueba que el sistema permita listar todos los reportes analiticos generados previamente.	2026-07-06	2026-07-09	2026-07-09	4 dias	0 dias	Prueba unitaria JUnit - REQ009
TC09.01.02 Exito al filtrar reportes por rango de fechas.	Listo	Danna Andrade	NORMAL	Verifica que el sistema permita filtrar los reportes historicos usando un rango de fechas valido.	2026-07-06	2026-07-09	2026-07-09	4 dias	0 dias	Prueba unitaria JUnit - REQ009
TC09.01.03 Error por rango de fechas invalido.	Listo	Ariel Llumiquinga	URGENTE	Valida que el sistema muestre un error cuando se consulta el historial con un rango de fechas invalido.	2026-07-06	2026-07-09	2026-07-09	4 dias	0 dias	Prueba unitaria JUnit - REQ009
