"Name","Estado","Encargado","Criticidad","Descripcion","Inicio previsto","Previsto","Final","Duracion","Retraso","Soporte"
"TC01.01.01 Éxito con datos válidos (incluye generación de credenciales).","Listo","Danna Andrade","IMPORTANTE","Verifica que el sistema permita crear un empleado cuando se ingresan datos válidos. Además, comprueba que se generen automáticamente el nombre de usuario, la contraseña temporal y el indicador de primer acceso obligatorio.","2026-07-02","2026-07-03","2026-07-03","2 días","0 días","Prueba unitaria JUnit - REQ001"
"TC01.01.02 Error al registrar con cédula ya existente.","Listo","David Pilaguano","URGENTE","Valida que el sistema no permita registrar un empleado cuando la cédula ya se encuentra registrada. El sistema debe mostrar un mensaje de error y evitar la creación de credenciales duplicadas.","2026-07-02","2026-07-03","2026-07-03","2 días","0 días","Prueba unitaria JUnit - REQ001"
"TC01.01.03 Error por datos de empleado no válidos (cédula, correo o rol).","Listo","Ariel Llumiquinga","IMPORTANTE","Comprueba que el sistema rechace el registro cuando los datos del empleado no cumplen las reglas establecidas, como una cédula inválida, un correo incorrecto o un rol no permitido.","2026-07-02","2026-07-03","2026-07-03","2 días","0 días","Prueba unitaria JUnit - REQ001"
"TC02.01.01 Éxito al consultar empleados registrados.","Listo","Ariel Llumiquinga","IMPORTANTE","Verifica que el sistema permita consultar correctamente el listado de empleados registrados en la base de datos o repositorio del sistema.","2026-07-02","2026-07-03","2026-07-03","2 días","0 días","Prueba unitaria JUnit - REQ002"
"TC02.01.02 Validar que se muestren cédula, nombre, rol y correo.","Listo","Danna Andrade","NORMAL","Comprueba que, al listar los empleados, se presenten los campos principales requeridos: cédula, nombre, rol y correo institucional.","2026-07-02","2026-07-03","2026-07-03","2 días","0 días","Prueba unitaria JUnit - REQ002"
"TC02.01.03 Resultado vacío cuando no existen empleados registrados.","Listo","David Pilaguano","NORMAL","Valida que el sistema responda correctamente cuando no existen empleados registrados, mostrando una lista vacía o un mensaje adecuado sin generar errores.","2026-07-02","2026-07-03","2026-07-03","2 días","0 días","Prueba unitaria JUnit - REQ002"
"TC03.01.01 Editar empleado - Éxito al actualizar nombres, correo o rol.","Listo","Danna Andrade","IMPORTANTE","Verifica que el sistema permita editar correctamente los datos de un empleado existente, como nombres, correo institucional o rol.","2026-07-03","2026-07-04","2026-07-04","2 días","0 días","Prueba unitaria JUnit - REQ003"
"TC03.01.02 Error por empleado no encontrado (cédula inexistente).","Listo","David Pilaguano","URGENTE","Comprueba que el sistema muestre un error cuando se intenta editar un empleado que no existe o cuya cédula no está registrada.","2026-07-03","2026-07-04","2026-07-04","2 días","0 días","Prueba unitaria JUnit - REQ003"
"TC03.01.03 Error por correo o rol no válido.","Listo","David Pilaguano","URGENTE","Valida que el sistema rechace la edición cuando el nuevo correo o rol no cumplen las reglas de validación establecidas.","2026-07-03","2026-07-04","2026-07-04","2 días","0 días","Prueba unitaria JUnit - REQ003"
"TC04.01.01 Éxito al eliminar empleado existente.","Listo","Danna Andrade","URGENTE","Verifica que el sistema permita eliminar correctamente un empleado existente, siempre que la cédula corresponda a un registro válido.","2026-07-03","2026-07-04","2026-07-04","2 días","0 días","Prueba unitaria JUnit - REQ004"
